question,response,group1,group2,g1-g2
I can do the splits.,no,83.33,80,3.33
I can do the splits.,yes,16.67,20,-3.33
I collect stamps.,no,91.3,80,11.3
I collect stamps.,yes,8.7,12,-3.3
I collect stamps.,skip,NA,8,NA
I draw pictures.,no,25,16,9
I draw pictures.,yes,66.67,84,-17.33
I draw pictures.,skip,8.33,NA,NA
I go camping.,no,24,36,-12
I go camping.,yes,72,64,8
I go camping.,skip,4,NA,NA
I go hiking.,no,26.09,34.62,-8.53
I go hiking.,yes,65.22,65.38,-0.159999999999997
I go hiking.,skip,8.7,NA,NA
I go on vacation.,yes,100,96,4
I go on vacation.,skip,NA,4,NA
I go out to dinner.,no,4.55,20,-15.45
I go out to dinner.,yes,95.45,76,19.45
I go out to dinner.,skip,NA,4,NA
I go swimming.,no,4.17,15.38,-11.21
I go swimming.,yes,95.83,84.62,11.21
I go to museums.,no,20,4.35,15.65
I go to museums.,yes,68,91.3,-23.3
I go to museums.,skip,12,4.35,7.65
I go to the movies.,no,5,4.17,0.83
I go to the movies.,yes,95,91.67,3.33
I go to the movies.,skip,NA,4.17,NA
I go to the park.,no,4,16,-12
I go to the park.,yes,92,72,20
I go to the park.,skip,4,12,-8
I go to the zoo.,no,16,28,-12
I go to the zoo.,yes,80,72,8
I go to the zoo.,skip,4,NA,NA
I have a backyard.,no,4.35,NA,NA
I have a backyard.,yes,95.65,96,-0.349999999999994
I have a backyard.,skip,NA,4,NA
I have a bicycle.,no,8.33,14.81,-6.48
I have a bicycle.,yes,91.67,85.19,6.48
I have a brother.,no,33.33,48.15,-14.82
I have a brother.,yes,66.67,48.15,18.52
I have a brother.,skip,NA,3.7,NA
I have a dog.,no,53.85,54.17,-0.32
I have a dog.,yes,46.15,41.67,4.48
I have a dog.,skip,NA,4.17,NA
I have a pool.,no,88,80,8
I have a pool.,yes,8,20,-12
I have a pool.,skip,4,NA,NA
I have a sister.,no,45.83,28,17.83
I have a sister.,yes,54.17,72,-17.83
I have a turtle.,no,100,82.61,17.39
I have a turtle.,yes,NA,17.39,NA
I have a TV.,no,3.85,8.33,-4.48
I have a TV.,yes,96.15,91.67,4.48
I have an iPad.,no,60,48,12
I have an iPad.,yes,40,52,-12
I have an iPhone.,no,80,57.69,22.31
I have an iPhone.,yes,12,42.31,-30.31
I have an iPhone.,skip,8,NA,NA
I have an XBox.,no,54.17,60,-5.83
I have an XBox.,yes,45.83,40,5.83
I have been on a plane.,no,25,NA,NA
I have been on a plane.,yes,75,100,-25
I have been on a train.,no,4.55,4,0.55
I have been on a train.,yes,95.45,84,11.45
I have been on a train.,skip,NA,12,NA
I have been to Baltimore.,no,4.35,8,-3.65
I have been to Baltimore.,yes,95.65,92,3.65000000000001
I have been to Canada,no,62.5,53.85,8.65
I have been to Canada,yes,29.17,42.31,-13.14
I have been to Canada,skip,8.33,3.85,4.48
I have been to Disney World.,no,65.38,32,33.38
I have been to Disney World.,yes,34.62,68,-33.38
I have been to Mexico.,no,87.5,91.3,-3.8
I have been to Mexico.,yes,8.33,4.35,3.98
I have been to Mexico.,skip,4.17,4.35,-0.18
I have board games.,no,9.09,NA,NA
I have board games.,yes,90.91,96,-5.09
I have board games.,skip,NA,4,NA
I have books.,no,NA,4,NA
I have books.,yes,100,92,8
I have books.,skip,NA,4,NA
I have homework.,no,4.17,19.23,-15.06
I have homework.,yes,95.83,73.08,22.75
I have homework.,skip,NA,7.69,NA
I juggle.,no,95.65,84,11.65
I juggle.,yes,4.35,8,-3.65
I juggle.,skip,NA,8,NA
I like animals.,yes,100,100,0
I like art class.,no,34.78,28,6.78
I like art class.,yes,60.87,68,-7.13
I like art class.,skip,4.35,4,0.35
I like Batman.,no,39.13,20.83,18.3
I like Batman.,yes,52.17,75,-22.83
I like Batman.,skip,8.7,4.17,4.53
I like birthday parties.,no,NA,4.17,NA
I like birthday parties.,yes,100,95.83,4.17
I like broccoli.,no,47.83,62.5,-14.67
I like broccoli.,yes,52.17,33.33,18.84
I like broccoli.,skip,NA,4.17,NA
I like cartoons.,no,16.67,7.69,8.98
I like cartoons.,yes,83.33,92.31,-8.98
I like cats.,no,30.43,29.17,1.26
I like cats.,yes,69.57,70.83,-1.26000000000001
I like chicken fingers.,no,21.74,36,-14.26
I like chicken fingers.,yes,69.57,56,13.57
I like chicken fingers.,skip,8.7,8,0.699999999999999
I like cookies.,yes,96,100,-4
I like cookies.,skip,4,NA,NA
I like football.,no,59.09,74.07,-14.98
I like football.,yes,40.91,22.22,18.69
I like football.,skip,NA,3.7,NA
I like french fries.,no,NA,11.54,NA
I like french fries.,yes,100,76.92,23.08
I like french fries.,skip,NA,11.54,NA
I like gym class.,no,13.04,46.15,-33.11
I like gym class.,yes,82.61,50,32.61
I like gym class.,skip,4.35,3.85,0.5
I like iced tea.,no,36,59.26,-23.26
I like iced tea.,yes,64,40.74,23.26
I like Iron Man.,no,28,16.67,11.33
I like Iron Man.,yes,68,79.17,-11.17
I like Iron Man.,skip,4,4.17,-0.17
I like Justin Beiber.,no,95.83,84.62,11.21
I like Justin Beiber.,yes,4.17,7.69,-3.52
I like Justin Beiber.,skip,NA,7.69,NA
I like movies.,yes,100,95.83,4.17
I like movies.,skip,NA,4.17,NA
I like musicals.,no,52.17,50,2.17
I like musicals.,yes,39.13,38.46,0.670000000000002
I like musicals.,skip,8.7,11.54,-2.84
I like my family.,yes,95.83,95.45,0.379999999999995
I like my family.,skip,4.17,4.55,-0.38
I like my friends.,no,2.22,NA,NA
I like my friends.,yes,97.78,98,-0.219999999999999
I like my friends.,skip,NA,2,NA
I like Nickelodeon.,no,56,54.17,1.83
